pair,method,signal,period,cost,sharpe,ann_return,ann_vol,total_return,max_drawdown,n_trades,hit_rate,avg_turnover,exposure
EWA-EWC,kalman_basic,threshold_z,full_2013_2025,no_cost,0.400935989518223,0.023890718295284774,0.06399160298214929,0.33977165828384615,-0.11338647213831952,79,0.49513274336283186,0.05238439425193488,0.7238949391415759
EWA-EWC,kalman_basic,threshold_z,full_2013_2025,tc_5bps,0.297401867293831,0.017149920232630178,0.06407526341431541,0.23450133814875906,-0.11441375556095927,79,0.49513274336283186,0.05238439425193488,0.7238949391415759
EWA-EWC,kalman_basic,threshold_z,full_2013_2025,tc_10bps,0.1939968882821455,0.010450291518674826,0.0642055108270727,0.13745770675290614,-0.12638080812383692,79,0.49513274336283186,0.05238439425193488,0.7238949391415759
EWA-EWC,kalman_basic,proportional,book_era_2013_2022,no_cost,0.3564983768345213,0.01685626186408329,0.05046566529610183,0.1817838704984016,-0.09488257475355728,1,0.4990067540723083,0.12194711611636277,0.9996028594122319
EWA-EWC,kalman_basic,proportional,book_era_2013_2022,tc_5bps,0.05195870631110455,0.0013483692169993233,0.050532265325314296,0.013554962369804358,-0.11729794134649808,1,0.46801748112832736,0.12194711611636277,0.9996028594122319
EWA-EWC,kalman_basic,proportional,book_era_2013_2022,tc_10bps,-0.2516857436730194,-0.013924883974980373,0.05061766833301408,-0.13074273936967973,-0.15771610851783394,1,0.44259038537941997,0.12194711611636277,0.9996028594122319
EWA-EWC,kalman_basic,proportional,oos_2023_2025,no_cost,0.5735542766097493,0.017855125647687764,0.031732378398617735,0.04333054757464905,-0.024172190459174788,1,0.5024875621890548,0.14336895901910285,0.9983443708609272
EWA-EWC,kalman_basic,proportional,oos_2023_2025,tc_5bps,0.004267840506893196,-0.0003686372345359512,0.03180824140447809,-0.0008833316151041215,-0.028546161830452905,1,0.4527363184079602,0.14336895901910285,0.9983443708609272
EWA-EWC,kalman_basic,proportional,oos_2023_2025,tc_10bps,-0.5616744120909921,-0.018268525757939025,0.0319201586352191,-0.04322915002220329,-0.06523998110753541,1,0.4295190713101161,0.14336895901910285,0.9983443708609272
EWA-EWC,kalman_basic,proportional,full_2013_2025,no_cost,0.3790107885911612,0.016993460093431167,0.047431435165980064,0.2321508271390682,-0.09583138959664905,1,0.49983979493752,0.12598694956538242,0.9996796925048046
EWA-EWC,kalman_basic,proportional,full_2013_2025,tc_5bps,0.04426790555444209,0.0009740371441633311,0.047498745980753945,0.012134396382387669,-0.13441371149180423,1,0.46523550144184556,0.12598694956538242,0.9996796925048046
EWA-EWC,kalman_basic,proportional,full_2013_2025,tc_10bps,-0.2894007781875629,-0.014795020404541281,0.04758689914538584,-0.16861584137451058,-0.20661775781971986,1,0.44024351169496956,0.12598694956538242,0.9996796925048046
EWA-EWC,kalman_basic,kalman_z,book_era_2013_2022,no_cost,0.5882338081030787,0.036967045104039586,0.06533842099025775,0.4372238922652609,-0.07382169607712755,42,0.5050632911392405,0.03493478404906031,0.6274821286735505
EWA-EWC,kalman_basic,kalman_z,book_era_2013_2022,tc_5bps,0.5204683478389004,0.032409788263860095,0.06538819420176126,0.3753435558460798,-0.07785135159920224,42,0.5050632911392405,0.03493478404906031,0.6274821286735505
EWA-EWC,kalman_basic,kalman_z,book_era_2013_2022,tc_10bps,0.4525947506511636,0.02787042012910046,0.06546850702874381,0.3161001328100046,-0.08186531778475231,42,0.5050632911392405,0.03493478404906031,0.6274821286735505
EWA-EWC,kalman_basic,kalman_z,oos_2023_2025,no_cost,0.8360594295767774,0.03853748898289644,0.046523683153855286,0.09486631394625067,-0.06505014596207372,15,0.4961038961038961,0.04958447456134638,0.6374172185430463
EWA-EWC,kalman_basic,kalman_z,oos_2023_2025,tc_5bps,0.7003312642938538,0.03206559054461988,0.046619252729796855,0.07858407005335044,-0.06518106842430424,15,0.4961038961038961,0.04958447456134638,0.6374172185430463
